Sheet Name,Metaheuristic,Seed,Initial Sequence,Initial Makespan,Best Sequence,Best Makespan,Iterations,Time
VFR100_20_10,RandomSelection,0,"[18 37 36 22 42 17 27 96 61 13 14 28 34 56 83 20  6 70 94 79  9 33 19 49
 69  3 74 71 64 85  5 88 40 77 23 93 31 67 10 72 89  1 47 38  7 65 39 54
 35 76 58 91 43 63 44  0 29 62 95 50 73 25 84 45 15 57 97 21 16  8 92 11
  2 68 82 51 48 60 75 90 52 53  4 80 24 98 87 81 55 78 30 59 66 46 26 12
 32 86 41]",6441,"[18 37 36 22 42 17 27 96 61 69 13 14 28 34 56 83 20  6 70 94 79  9 19 49
  3 74 71 64 85  5 88 40 33 23 93 67 10 72  1 47  7 65 77 89 54 35 76 58
 91 43 63 39 44 29  0 62 95 50 25 73 84 45 15 97 16  8 92 11  2 68 82 51
 48 60 90 21 75 52 53  4 80 24 98 87 81 55 78 30 31 57 59 66 46 26 12 38
 32 86 41]",6384,30,2.319737195968628
VFR100_20_10,QLearning,0,"[18 37 36 22 42 17 27 96 61 13 14 28 34 56 83 20  6 70 94 79  9 33 19 49
 69  3 74 71 64 85  5 88 40 77 23 93 31 67 10 72 89  1 47 38  7 65 39 54
 35 76 58 91 43 63 44  0 29 62 95 50 73 25 84 45 15 57 97 21 16  8 92 11
  2 68 82 51 48 60 75 90 52 53  4 80 24 98 87 81 55 78 30 59 66 46 26 12
 32 86 41]",6441,"[18 36 37 42 22 17 27 23  5 96 61 13 28 34 14 77 20 56 70 79  9 19 52 16
 93 88 49 69  3 33 83 74 71 64  6 31 67 10 72 89  1 47  7 65 39 54 35 76
 58 43 63 62 85  0 25 95 50 73 84 38 45 15 57 97 21  8 92 94 40 68 82 51
  2 48 60 75 29 53 78 90 11  4 80 24 98 87 81 44 55 46 30 59 66 26 12 41
 91 32 86]",6297,72,4.85062313079834
VFR100_20_10,RandomSelection,42,"[18 37 36 22 42 17 27 96 61 13 14 28 34 56 83 20  6 70 94 79  9 33 19 49
 69  3 74 71 64 85  5 88 40 77 23 93 31 67 10 72 89  1 47 38  7 65 39 54
 35 76 58 91 43 63 44  0 29 62 95 50 73 25 84 45 15 57 97 21 16  8 92 11
  2 68 82 51 48 60 75 90 52 53  4 80 24 98 87 81 55 78 30 59 66 46 26 12
 32 86 41]",6441,"[18 37 36 22 42 17 27 96 61 69 13 14 28 34 56 83 20  6 70 94 79  9 19 49
  3 74 71 64 85  5 88 40 33 23 93 67 10 72  1 47  7 65 77 89 54 35 76 58
 91 43 63 39 44 29  0 62 95 50 25 73 84 45 15 97 16  8 92 11  2 68 82 51
 48 60 90 21 75 52 53  4 80 24 98 87 81 55 78 30 31 57 59 66 46 26 12 38
 32 86 41]",6384,30,0.41742897033691406
VFR100_20_10,QLearning,42,"[18 37 36 22 42 17 27 96 61 13 14 28 34 56 83 20  6 70 94 79  9 33 19 49
 69  3 74 71 64 85  5 88 40 77 23 93 31 67 10 72 89  1 47 38  7 65 39 54
 35 76 58 91 43 63 44  0 29 62 95 50 73 25 84 45 15 57 97 21 16  8 92 11
  2 68 82 51 48 60 75 90 52 53  4 80 24 98 87 81 55 78 30 59 66 46 26 12
 32 86 41]",6441,"[18 37 22 36 42 17 27 23 96 13 14 28 61 34 56 79 20 70  6 94 83  9 19 16
 49 69  3 33 74 71 64 85  5 88 89 93 67 10 72  1 47  7 65 39 54 76 77  0
 58 29 62 63 50 95 73 25 84 38 45 15 31 43 57 97 21  8 92  2 68 40 82 51
 48 60 35 75 90 52 11 53  4 80 78 24 98 87 81 44 55 46 30 59 66 91 26 12
 32 86 41]",6345,42,2.6665966510772705
VFR100_20_10,RandomSelection,93,"[18 37 36 22 42 17 27 96 61 13 14 28 34 56 83 20  6 70 94 79  9 33 19 49
 69  3 74 71 64 85  5 88 40 77 23 93 31 67 10 72 89  1 47 38  7 65 39 54
 35 76 58 91 43 63 44  0 29 62 95 50 73 25 84 45 15 57 97 21 16  8 92 11
  2 68 82 51 48 60 75 90 52 53  4 80 24 98 87 81 55 78 30 59 66 46 26 12
 32 86 41]",6441,"[18 37 36 22 42 17 27 96 61 69 13 14 28 34 56 83 20  6 70 94 79  9 19 49
  3 74 71 64 85  5 88 40 33 23 93 67 10 72  1 47  7 65 77 89 54 35 76 58
 91 43 63 39 44 29  0 62 95 50 25 73 84 45 15 97 16  8 92 11  2 68 82 51
 48 60 90 21 75 52 53  4 80 24 98 87 81 55 78 30 31 57 59 66 46 26 12 38
 32 86 41]",6384,30,0.37106919288635254
VFR100_20_10,QLearning,93,"[18 37 36 22 42 17 27 96 61 13 14 28 34 56 83 20  6 70 94 79  9 33 19 49
 69  3 74 71 64 85  5 88 40 77 23 93 31 67 10 72 89  1 47 38  7 65 39 54
 35 76 58 91 43 63 44  0 29 62 95 50 73 25 84 45 15 57 97 21 16  8 92 11
  2 68 82 51 48 60 75 90 52 53  4 80 24 98 87 81 55 78 30 59 66 46 26 12
 32 86 41]",6441,"[18 37 22 36 42 17 27 23 96 13 14 28 61 34 56 79 20 70  6 94 83  9 19 16
 49 69  3 33 74 71 64 85  5 88 89 93 67 10 72  1 47  7 65 39 54 76 77  0
 58 29 62 63 50 95 73 25 84 38 45 15 31 43 57 97 21  8 92  2 68 40 82 51
 48 60 35 75 90 52 11 53  4 80 78 24 98 87 81 44 55 46 30 59 66 91 26 12
 32 86 41]",6345,42,2.183525323867798
VFR100_20_10,RandomSelection,7043,"[18 37 36 22 42 17 27 96 61 13 14 28 34 56 83 20  6 70 94 79  9 33 19 49
 69  3 74 71 64 85  5 88 40 77 23 93 31 67 10 72 89  1 47 38  7 65 39 54
 35 76 58 91 43 63 44  0 29 62 95 50 73 25 84 45 15 57 97 21 16  8 92 11
  2 68 82 51 48 60 75 90 52 53  4 80 24 98 87 81 55 78 30 59 66 46 26 12
 32 86 41]",6441,"[18 37 22 36 77 42 17 27 23 96 61 13 14 28 34 56 83 20 70 94 79  9 33 19
 16 49 69  3 52 74 71 64 85  5 43 88 10 67 93 72 89  1 47  7 65 39 54 35
 76 58 29  0 62 63 95 50 73 25 84 15 45 38 57 97  8 21 92  2 40 68 82 51
 48 60 75 90 53 11  6  4 80 24 98 87 81 78 31 44 55 46 30 59 66 91 26 12
 32 86 41]",6333,30,0.5560004711151123
VFR100_20_10,QLearning,7043,"[18 37 36 22 42 17 27 96 61 13 14 28 34 56 83 20  6 70 94 79  9 33 19 49
 69  3 74 71 64 85  5 88 40 77 23 93 31 67 10 72 89  1 47 38  7 65 39 54
 35 76 58 91 43 63 44  0 29 62 95 50 73 25 84 45 15 57 97 21 16  8 92 11
  2 68 82 51 48 60 75 90 52 53  4 80 24 98 87 81 55 78 30 59 66 46 26 12
 32 86 41]",6441,"[18 37 22 36 77 42 17 27 23 96 61 13 28 34 14 20 56 70 83 94 79  9 33 19
 16 49 69  3 52 74 71 64 85  5 43 88 93 67 10 72 89  1 47  7 65 39 54 35
 76 58 29  0 62 63 95 50 73 25 84 38 45 15 57 97 21  8 92  2 40 68 82 51
 48 60 75 90 53 11  4 80  6 24 98 87 81 78 31 44 55 46 30 59 66 26 12 91
 32 86 41]",6318,66,3.226569175720215
VFR100_20_10,RandomSelection,101112,"[18 37 36 22 42 17 27 96 61 13 14 28 34 56 83 20  6 70 94 79  9 33 19 49
 69  3 74 71 64 85  5 88 40 77 23 93 31 67 10 72 89  1 47 38  7 65 39 54
 35 76 58 91 43 63 44  0 29 62 95 50 73 25 84 45 15 57 97 21 16  8 92 11
  2 68 82 51 48 60 75 90 52 53  4 80 24 98 87 81 55 78 30 59 66 46 26 12
 32 86 41]",6441,"[18 37 22 36 42 17 27 96 61 13 14 28 34 56 83 20  6 70 19 33  9 79 94 49
 69  3 74 40 88  5 85 64 71 77 23 93 31 67 10 72 89  1 47 38  7 65 39 54
 76 35 58 91 43 63 44 29  0 62 95 50 25 73 84 45 15 57 97 21 16  8  4 92
 11  2 68 82 51 48 60 75 90 53 80 24 98 87 81 55 52 78 30 59 66 46 26 12
 32 86 41]",6412,30,0.33770179748535156
VFR100_20_10,QLearning,101112,"[18 37 36 22 42 17 27 96 61 13 14 28 34 56 83 20  6 70 94 79  9 33 19 49
 69  3 74 71 64 85  5 88 40 77 23 93 31 67 10 72 89  1 47 38  7 65 39 54
 35 76 58 91 43 63 44  0 29 62 95 50 73 25 84 45 15 57 97 21 16  8 92 11
  2 68 82 51 48 60 75 90 52 53  4 80 24 98 87 81 55 78 30 59 66 46 26 12
 32 86 41]",6441,"[18 37 22 36 42 27 17 23 96 61 13 34 28 14 56  9 79 20 77 70 19 16  6 31
 93 88 49 33  3 69 74 71 64  5 85 67 10 72 89  1 47  7 83 43 63 62 58 76
 39 54 35 65  0 25 95 50 73 84 15 38 45 57 97 21  8 94 92  2 40 68 82 51
 48 60 75 29 90 52 11 53  4 80 78 24 98 87 81 44 55 46 30 59 66 26 12 91
 32 86 41]",6325,66,3.7552225589752197
